









Frequency of observations in the selected location(s).:
Number of taxa: 	569

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	2225.0	1807.0	1962.0	2356.0	1541.0	1770.0	2289.0	1904.0	1980.0	2032.0	2290.0	3291.0	2411.0	2596.0	2844.0	3606.0	3651.0	4353.0	3792.0	3594.0	1950.0	1781.0	1617.0	1741.0	1416.0	1493.0	1527.0	2378.0	1857.0	1880.0	2144.0	2935.0	2248.0	1971.0	2275.0	2632.0	2157.0	2189.0	2076.0	2622.0	2040.0	1843.0	1902.0	2299.0	1460.0	1751.0	2135.0	2297.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0275126	0.0068027	0.0	0.0	0.0341594	0.0104781	0.0344828	0.0080775	0.0244681	0.0289179	0.0010221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025042	0.0041026	0.0	0.0	0.0	0.0	0.0	6.549E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous/Lesser Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.094382	0.0774765	0.0728848	0.0916808	0.0940947	0.0717514	0.0934906	0.1428571	0.1232323	0.1274606	0.1157205	0.0914616	0.0423061	0.0350539	0.0116034	0.009706	0.007943	0.0045945	0.0058017	0.0055648	0.0112821	0.0061763	0.0030921	0.0034463	0.0021186	0.0046885	6.549E-4	0.0046257	0.0048465	0.0037234	0.0015	0.0044293	0.002669	5.074E-4	0.0035165	0.0098784	0.0180807	0.0306076	0.0399807	0.0385202	0.0578431	0.0661964	0.075184	0.0626359	0.069863	0.0633923	0.0918033	0.0918589	
Ross's Goose	0.007191	0.0138351	5.097E-4	4.244E-4	0.0	5.65E-4	0.0015	0.0010504	5.051E-4	0.0	0.00131	0.0	4.148E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	9.634E-4	0.0015	9.804E-4	5.426E-4	0.0	4.35E-4	0.0054795	5.711E-4	4.684E-4	4.354E-4	
Snow/Ross's Goose	4.494E-4	0.0	0.0	0.0	0.0	0.0	0.0	5.252E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	4.494E-4	0.0	0.0010194	0.0012733	0.0012979	0.0011299	0.0	0.0015756	0.0020202	0.0	4.367E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.128E-4	0.0	0.0	0.0	0.0014124	0.0	0.0	4.205E-4	0.0	0.0	0.0	3.407E-4	0.0	5.074E-4	0.0	3.799E-4	4.636E-4	4.568E-4	0.0	0.0	0.0	0.0	0.0	0.0	6.849E-4	0.0	0.0	0.0026121	
Swan Goose	0.0	0.0	0.0	4.244E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.258E-4	0.0	0.0015	0.0	0.0	0.0	
